naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
Limited Prints for my first exhibition,Luc Kradolfer/ Le Luc,CH,Painting,7,2300,226,0,"As a young artist, i wanna do some limited Prints 4 my first exhibition. Happy for every financial support. Thanks folks."
Project Real Estate Support System #3,Gavin Turner,AU,Web,0,2200000,0,0,An internet website that supports individuals and small business in the real estate industry
Art show \\,valentino darisier,US,Art,0,7500,0,0,Art event for local artist to gain exposure and social and media visibility during a week that can make  their dreams become a Reality!
eVe by Elocky La Serrure Connecte | The Smart Cylinder Lock,Elocky SAS,FR,Hardware,116,50000,50718,1,"Adoptez eVe, partagez vos cls et surveillez votre maison | Adopt eVe, easily share your keys and watch over your house !"
100% Pure Essential Oils for a Healthier All Natural Life,Anthony Howard,GB,Crafts,4,8000,119,0,"Our all natural, eco friendly, wild crafted 100% pure essential oils give you amazing benefits and a happier healthy life"
Doughboys Bake Shoppe,Mike and Claudia Milladge,US,Food,3,5500,160,0,We are opening our first bakery! WE win by fulfilling our dreams and YOU win by eating all the delicious pastries!
Float: A Book of Poems,Jordan Vogeney,US,Poetry,11,360,385,1,A book of poetry I never intended to release. But I found  inspiration to do so. Sometime we just need a little push.
Crazier Eights: Camelot,James Gray,US,Tabletop Games,102,3000,2162,0,A fun & simple fantasy card game. The first with zero cards in hand wins. Every card may be played for an effect.
Art Mcanique - Quality Watches - Swiss Automatic Movement,Adriano,CH,Design,74,74000,31148,0,High-quality watches designed & engineered in Switzerland
Wise Whistles,Erica Landes,US,Fashion,1,3000,1,0,Stylish Safety Whistles for Kids and Adults
Dale Sanders: Source to Sea Film Pre-Sale,Adventureitus Productions,US,Documentary,76,4000,4150,1,The AP Crew documented the oldest man to ever paddle the entire length of the Mississippi River. His story is nothing short of amazing.
Valiant Remembrance (Canceled),Human Element,US,Video Games,8,1500,166,0,Valiant Remembrance is the first Virtual Reality MMORPG that will be available Free to play! Support the game and get awesome rewards!
Glory: A Christmas Song,Jacob & Dee,US,Music,24,1000,1056,1,an original christmas song for your hearing pleasure
STARDECK: Space-Grade Playing Cards,Lunar Saloon,US,Playing Cards,357,5000,11351,1,The battle for Proxima B rages in this custom designed card deck from Lunar Saloon.
Help Back Rhodes record an album!,Back Rhodes,US,Country & Folk,66,3000,3862,1,Back Rhodes is raising funds to create our first album of original material. We want you to be a part of it!
FV Concierge Only: Luxury Beauty Services to Your Hotel,Fernando Valencia,US,Fashion,11,5000,915,0,Luxury beauty services delivered straight to the comfort of your room.
Henty CoPilot: First Two Bag System for Commuting & Travel,Henty CoPilot,US,Design,1077,15000,260782,1,Designed for adventure travel & commuting. Outer garment bag keeps clothes crease-free. Grab & go inner bag for gym & day trips.
One Million Lovely Letters + Dramatic Need Exhibition!,Jodi Ann Bickley,GB,Mixed Media,60,550,793,1,"Collecting stories via workshops on either side of the planet creating an exhibition of letters using print, film and performance."
Truth or Dare Card Game,Jeffrey Blezard,GB,Playing Cards,6,5500,96,0,"A classic game played by everyone as a child, but now with a shamelessly brutal collection of questions and dares."
The TayloredMinds WebSeries,Isaiah Taylor,US,Webseries,0,3000,0,0,Tayloredminds is looking to launch a web series for youth across the country who are using their creativity to inspire others.
MONKS vegan DELICATESSEN and KITCHEN,"Chris Kim, Rebecca Lopez-Howes",US,Food,268,50000,50385,1,"Support our mission to bring great tasting, fresh food to Brooklyn at NYs premier vegan delicatessen! #EatAtMonks #freshfoodtastesgood"
ALT - \\,Thomas Adair,US,Product Design,7,20000,2115,0,ALT was created to be an alternative to your traditional desk.  Giving you the option to stand. Enhance your work surface with ALT.
My first album on the Winter! &lt;3,robby_darkness,IT,Photography,1,250,1,0,Help me to bring my dream into real! &lt;3
Under Cabinet Articulating TV Bracket with Millwork Hardware,Jeremy Ross,US,Hardware,1,35000,10,0,-Furniture Style Hardware Kit Included  No Bolts showing through the bottom of a cabinet shelf.-Additional installation hardware incl
"(Pet-A-Tree), \\",Samuel Wayne Wright,US,Web,0,100000,0,0,Project (Pet-A-Tree) is a humanitarian based forest of information branching outward to help bridge the gap between pet and parent.
'SCARAMOUCHE JONES'' by Justin Butcher,Tino Orsini,GB,Plays,3,2500,135,0,"An enthralling tale charting the ecstasies and tragedies behind the seven white masks of centenarian clown,Scaramouche Jones."
Subject 264 VR for HTC Vive and Oculus Rift,Virtual Guys,FR,Video Games,73,2500,2524,1,"A built for VR game, for Vive and Rift inspired by Myst and other adventure puzzle games. Who are you? Where are you? Will you escape?"
* The Perfect Angel *,Paula Alvarez,GB,Crafts,8,3000,121,0,We use traditional techniques to create unique handmade angels to watch over you and your family & make every Christmas unforgettable!
Political Cereals! -Your 2016 Presidential Race Souvenir,Heber Michaels,US,Food,18,1250,1276,1,Do you have a way to remember this year's EPIC Presidential Elections? Now you can with your very own HillaryO's and Cap'N Trump Cereal
shellter inc.,Emir Aiaydeh,CA,Technology,1,80000,5,0,"Creating a future where youth have a place that will empower them to create, invent, embody, and reimagine a better world for all."
Ambrosia,Erlend Van der haegen,BE,Tabletop Games,85,20000,4074,0,"Ambrosia is a storytelling-driven, dark fantasy role-playing game inspired by the history and folklore of the Low Countries."
Freshest Pecans on Planet Earth!,Dave Burton | The Pecan Stand,US,Small Batch,33,3950,3960,1,We are a Georgia Grown Small Batch Pecan Co. based in South Georgia.
Ace of Hearts - Documentary for the Rights of Dogs in L.A.,Patrick Dowling & Ari Cohen,US,Documentary,6,20000,6650,0,"This documentary covers how the mandatory spay/neuter law was passed in L.A., its current enforcement and what further work is needed."
Homeless Comedic Webseries,Kerry Cronic,US,Comedy,1,1300,1,0,Comedy Web-series about two young guys that become homeless and work together to better their situation.
"SAT, PSAT/NMSQT: Blueprints and Test Taking Strategies",Manuel Alfaro,US,Academic,8,50000,160,0,My name is Manuel Alfaro. I was recruited by the College Board to help redesign the SAT.
Zonta- Leather Back Pocket Wallet / Journal Case,Native Sand,US,Product Design,36,1000,2280,1,We bring you a keepsake that combines the intimacy of your journal with the proximity of your wallet.
Virginia Ground's NYE 2016-2017 Reunion Show in Bristol,Jonathan McGlocklin,US,Country & Folk,38,2000,3450,1,Virginia Ground needs your help to put together 1 More Show!!! New Year's Eve 2016-2017 at The Bristol Train Station on State Street!!!
Building a Hobbit Hole Bed and Breakfast,Roy Esquivel,US,Woodworking,22,12000,1495,0,"Step out of everyday life, and into the Shire.  Have a chance to spend the night in a Hobbit Hole.  Make Fantasy a reality."
Invisible Light (a new album from James Egan),James Egan,US,Rock,132,5000,6494,1,I am in the middle of recording a new album and hoping to fund the final parts of it.
The Disguisery - A New Movement in Bespoke Tailoring,The Disguisery,GB,Fashion,19,10000,1130,0,"Hand made using traditional techniques, responding to a modern aesthetic & sensibility, and our very own touch of transatlantic style."
Saulaboutart,Kenadi McGee,US,Art,2,1500,135,0,College Ruled Spiral Notebooks with an Ethnic Twist
Beyond the Deep,Kyle Mosonyi,CA,Science Fiction,20,6000,6038,1,"A man discovers a wormhole in a deserted forest that enables him to travel through time. Along his travels, he falls in love."
FLIP WOLYT,LoC.,CA,Product Design,720,5000,36108,1,"The perfect urban EDC slim wallet.  A timeless classic that manages your cards, banknotes, key, coins, sim card and more."
That Other Web Show,"CJ Davidson, Producer, Host",US,Webseries,0,25000,0,0,"That Other Web Show is an interactive, informative & artistic program designed to bring non-mainstream news to the forefront with FUN!"
Xpilot.IO,Matt Parker,US,Video Games,2,15000,15,0,An open-source retro multiplayer space-shooter playable in the web browser.
A Literary Bestiary: An illustrated book of animal authors,Tasha Miller (Jubly-Umph),AU,Publishing,124,4000,8106,1,"This book is a collection of favourite authors, playwrights and poets reinvented as animals with pun-tastic names."
YOU'VE BEEN SHAVED: A card game for those with beard envy.,Cris Rogers,GB,Tabletop Games,84,2160,2763,1,"You've Been Shaved is a new fast paced 6 player card game for all the hipsters, hipster hater's and family."
Fuzzy Logic Brewery,Sam Dymond,NZ,Drinks,14,8000,3491,0,"Be a kickstarter of our Taranaki craft brewery, Fuzzy Logic Brewery, launching in New Plymouth early 2017!"
Payoff Pitch Baseball 2016 Season Card Set,Joe Bryan,US,Tabletop Games,13,500,914,1,2016 Season set for use with the Payoff Pitch Baseball Game. Bring real life baseball action to your tabletop.
CompREST: The legit camping bed that isn't full of (hot) air,Sawyer Pahl,CA,Design,178,40000,42388,1,"Air mattresses suck. How about a vacuum-packable foam camping bed that's actually comfortable, will never leak, AND charges your phone?"
The Veeptopus Book: 48 Vice Presidents & Octopuses,Jonathan Crow,US,Art Books,245,9500,15137,1,Every single U.S. vice president with an octopus on his head  an illustrated book featuring portraits and stories about all 48 veeps.
Self Proclaimed Narcissist's New Album - \\,Erik Carson,US,Punk,49,1111,1302,1,Self Proclaimed Narcissist is currently recording the greatest record of all time - \\
MMP Connect,Scotty Bennett,US,Web,0,10000,0,0,A new social network for the medical marijuana community
Vegan Artwork,Vegan Artist BJT,US,Art,2,1500,100,0,"Shedding light on injustice, through art. Animals are misused, abused & murdered everyday, I just wish to show the world the ugly truth"
Planting Hope,PORCH,US,Children's Books,60,3000,4300,1,This children's picture book tells the tale of a hard-working girl and a golden seed who bring unity to a divided garden.
The Ultimate Workout Pants | Designed for Outdoor Running,Basic Elevation Designs,US,Apparel,225,8000,18127,1,The Best Workout Pants made with Fine Microfiber Cotton. 8 Design Features to Improve Your Everyday Workout.
SecLife App - Increase safety - Be safe everywhere,Timo Dmke,DE,Apps,1,1500,1,0,Help each other and make the world a little bit safer. SecLife - for more security in everyday life. The social safety network.
Convenicharge: A Fully Integrated Wireless Charging Solution (Canceled),Convenicharge,GB,Gadgets,35,10000,1856,0,Sleek. Efficient. Practical. The worlds first fully integrated Wireless Charging pad for your home. Quick charge where you need it most
MOJO - Crafted Beard Product for Gentlemen,Luke Wilson,GB,Crafts,5,500,93,0,Ridiculously Good Smelling beard oil and balm for bearded brothers across the globe. GIVE YOUR BEARD WHAT IT DESERVES!
Video Game Covers! Season 6!,Steve Sharp,GB,Rock,5,100,101,1,I am creating another album full of great video game covers with my own unique style.
"Minimalist, High Quality Watches without the Bulls**t",Danny Buck,GB,Accessories,209,25000,25802,1,"CIRCULR Watches - We've managed to get unisex minimalist watches that usually retail for 200+, down to 49 by removing the bulls**t."
For College Student,Roger Lim,US,Web,2,10000,15,0,"my project is already under development, basically is creating a social platform for college student to sell their books back to studen"
Look through m eyes and see what i see,latora toney,US,Poetry,1,10000,10,0,The opportunity to look through ones soul and see what dwells within.
Hound's Tap: Organic Drink Mix Treat for Dogs,Bask Specialties,US,Drinks,35,5000,1535,0,\\
Whip Yer Kids!: Superstore Edition,William Earls,US,Playing Cards,6,17500,191,0,A hilarious point-based card game for 2-8 players where shoppers attempt to survive a chaotic trip to the store with children.
"Seeking Sugar, a Generation for Sale",Confidentially unknown,US,Nonfiction,0,10500,0,0,"Seeking Sugar, the go to crowd funding of so many and their stories."
Cognition Short Film,Hannah Darby,GB,Shorts,2,600,20,0,"A short psychological thriller. A resilient ex-neurobiologist takes radical measures to fix herself, her family and her wrong doings."
Championship Basketball Planning,Terry Porter and Kristian Lien,US,Apps,1,45000,1,0,"This is an app for basketball coaches.  It will help plan practice, including a whiteboard for games and practice situations."
Japanese 101: Get started using manga/anime/games,Yoram,NL,Webseries,2,500,51,0,"Learn your first Asian language in a comfortable way, using manga/anime/games - making the words and grammar patterns truly stick."
Twinkly - Smart Decoration... for your Christmas,ledworks,IT,Gadgets,297,50000,52744,1,"Twinkly is a Christmas tree light string, controlled via smartphone: \\"
Cobras - A Trick-Taking Game for 1-5 Players,Cardboard Edison,US,Tabletop Games,556,8000,12549,1,"Cobras are overrunning the village & you've come up with a tricky scheme to profit. But if your timing is off, you might get bit!"
No 'Wurst For Were- Graphic Novel for Kids,David Rose,US,Graphic Novels,58,4300,4488,1,"A werewolf, a curfew-breaking boy, and the deli meat that saved his life!  A wild & zany graphic novel told in rhyming verse."
XUFOY Rost + Rouble! NOISELESS GUITAR PLECTRUMS,Malte Seidler,DE,Sound,143,3000,2384,0,A new Level in Pick Design. The patented gryd-like Structure prevents typical Plectrum-Noises! Gitarrenplektrum ohne Strgerusche!
Fminrum: The Consciousness of Gender in Sculptural Ecorch,Eric Sychampanakhone,US,Sculpture,22,900,1022,1,This project is a sculptural Ecorche of a female with conceptual regard for female studio models and their consciousness of gender.
Relieve Pain & Get Weight off your Shoulder w/ C-REST,Team Start Living,US,Product Design,6784,10000,573269,1,"10 minutes! Relieve Stress & Pain in Neck & Shoulder. C-REST is comfortable personal massager. Portable, so you can rest anywhere."
